name,layer,id,glottocode,year,map_name_full,tessellate,extrude,visibility,Family,Dialect,description
Pinjarup,Southwestern,129,pinj1244,traditional,Files for Australian Language Locations,1,0,-1,,y,
Wiilman,Southwestern,130,nyun1247,traditional,Files for Australian Language Locations,1,0,-1,,y,
Wardandi,Southwestern,131,ward1248,traditional,Files for Australian Language Locations,1,0,-1,,,
Bibbulman,Southwestern,132,bibb1234,traditional,Files for Australian Language Locations,1,0,-1,,y,
Lardil,Tangkic,133,lard1243,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Kaniyang,Southwestern,134,kani1276,traditional,Files for Australian Language Locations,1,0,-1,,y,
Kayardild,Tangkic,135,kaya1319,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Yukulta,Tangkic,136,gang1267,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Ngadjuri,Thura-Yura,137,ngad1257,traditional,Files for Australian Language Locations,1,0,-1,,,
Minkin,Tangkic,138,mink1237,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Parnkala,Thura-Yura,139,bang1339,traditional,Files for Australian Language Locations,1,0,-1,,,
Nauo,Thura-Yura,140,nauo1235,traditional,Files for Australian Language Locations,1,0,-1,,,
Adnyamathanha,Thura-Yura,141,adny1235,traditional,Files for Australian Language Locations,1,0,-1,,,
Nukunu,Thura-Yura,142,nugu1241,traditional,Files for Australian Language Locations,1,0,-1,,,
Narrungga,Thura-Yura,143,naru1238,traditional,Files for Australian Language Locations,1,0,-1,,,
Kaurna,Thura-Yura,144,kaur1267,traditional,Files for Australian Language Locations,1,0,-1,,,
Wagaman,Southern (#3),146,wami1239,traditional,Files for Australian Language Locations,1,0,-1,,,
Mbara,Southern (#3),148,mbar1254,traditional,Files for Australian Language Locations,1,0,-1,,,
Ngan'gityemerri,Southern Daly,149,nang1259,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Murrinh-patha,Southern Daly,150,murr1258,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
